simulation_time	physical_time	old_house.energy	old_house.money	new_house.energy	new_house.money	office.energy	office.money	incinerator.energy	incinerator.money	fast_gas_boiler.energy	fast_gas_boiler.money	
0	2018-01-01 00:00:00	281.6743546350967	0.5	153.8691332671137	0.5	665.4384275566063	0.4	-114.9690948795433	0.2	-986.0128205792736	0.25	
1	2018-01-01 01:00:00	284.36980300481054	0.5	155.3415651644067	0.5	671.8062593992533	0.4	-116.06927760566334	0.2	-995.4483499628072	0.25	
2	2018-01-01 02:00:00	291.1084239290952	0.5	159.02264490763906	0.5	687.7258390058706	0.4	-215.1704759235286	0.2	-922.6864319190763	0.25	
3	2018-01-01 03:00:00	288.41297555938127	0.5	157.55021301034608	0.5	681.3580071632236	0.4	-358.55333175794345	0.2	-768.7678639750075	0.25	
4	2018-01-01 04:00:00	274.9357337108121	0.5	150.1880535238813	0.5	649.5188479499889	0.4	-578.5010676940625	0.2	-496.14156749061965	0.25	
5	2018-01-01 05:00:00	281.6743546350967	0.5	153.8691332671137	0.5	665.4384275566063	0.4	-592.6800154316622	0.2	-508.3019000271546	0.25	
6	2018-01-01 06:00:00	369.2764266507966	0.5	201.7231699291347	0.5	681.3580071632236	0.4	-674.1684976752163	0.2	-578.1891060679385	0.25	
7	2018-01-01 07:00:00	370.62415083565355	0.5	202.4593858777812	0.5	684.5419230845472	0.4	-677.0042872227364	0.2	-580.6211725752456	0.25	
8	2018-01-01 08:00:00	377.36277175993814	0.5	206.1404656210136	0.5	891.496457970573	0.4	-794.0210733055761	0.2	-680.9786220459487	0.25	
9	2018-01-01 09:00:00	285.71752718966746	0.5	156.07778111305313	0.5	866.0251305999852	0.4	-704.0252224194622	0.2	-603.7952164832437	0.25	
10	2018-01-01 10:00:00	256.0675951228152	0.5	139.88103024283063	0.5	795.9789803308688	0.4	-641.637852374024	0.2	-550.2897533224906	0.25	
11	2018-01-01 11:00:00	239.89490490453213	0.5	131.04643885907294	0.5	757.771989274987	0.4	-607.6083778037851	0.2	-521.104955234807	0.25	
12	2018-01-01 12:00:00	223.72221468624906	0.5	122.21184747531521	0.5	719.5649982191054	0.65	-573.578903233546	0.2	-491.9201571471235	0.35	
13	2018-01-01 13:00:00	206.20180028310907	0.5	112.641040142911	0.5	678.1740912419002	0.65	-536.7136391157871	0.2	-460.3032925521331	0.35	
14	2018-01-01 14:00:00	199.46317935882445	0.5	108.95996039967861	0.5	662.2545116352828	0.65	-522.5346913781876	0.2	-448.14296001559836	0.35	
15	2018-01-01 15:00:00	198.11545517396752	0.5	108.22374445103213	0.5	659.0705957139593	0.65	-519.6989018306676	0.2	-445.7108935082913	0.35	
16	2018-01-01 16:00:00	212.94042120739368	0.5	116.32211988614338	0.5	694.0936708485176	0.65	-550.8925868533868	0.2	-472.4636250886679	0.35	
17	2018-01-01 17:00:00	324.8015285505182	0.5	177.428043623801	0.5	767.3237370389576	0.65	-683.4252809522995	0.2	-586.1280282609773	0.35	
18	2018-01-01 18:00:00	358.49463317194125	0.5	195.83344233996291	0.5	655.886679792636	0.65	-651.4821812950571	0.2	-558.732574009483	0.35	
